time,open,high,low,close
2019-11-01T08:00:00+08:00,123.45,123.45,123.45,123.45
2019-11-04T08:00:00+08:00,123.89,123.89,123.89,123.89
2019-11-05T08:00:00+08:00,126.46,126.46,126.46,126.46
2019-11-06T08:00:00+08:00,126.34,126.34,126.34,126.34
2019-11-07T08:00:00+08:00,126.34,126.34,126.34,126.34
2019-11-08T08:00:00+08:00,125.33,125.33,125.33,125.33
2019-11-13T08:00:00+08:00,120.47,120.47,120.47,120.47
2019-11-14T08:00:00+08:00,120.59,120.59,120.59,120.59
2019-11-15T08:00:00+08:00,119.29,119.29,119.29,119.29
2019-11-21T08:00:00+08:00,109.77,109.77,109.77,109.77
2019-11-25T08:00:00+08:00,95.28,95.28,95.28,95.28
2019-11-26T08:00:00+08:00,96.58,96.58,96.58,96.58
2019-11-27T08:00:00+08:00,97.93,97.93,97.93,97.93
2019-11-29T08:00:00+08:00,100.78,100.78,100.78,100.78
2019-12-02T08:00:00+08:00,100.39,100.39,100.39,100.39
2019-12-03T08:00:00+08:00,98.82,98.82,98.82,98.82
2019-12-10T08:00:00+08:00,99.65,99.65,99.65,99.65
2019-12-12T08:00:00+08:00,98,98,98,98
2019-12-13T08:00:00+08:00,97.58,97.58,97.58,97.58
2019-12-17T08:00:00+08:00,92.78,92.78,92.78,92.78
2019-12-18T08:00:00+08:00,87.75,87.75,87.75,87.75
2019-12-20T08:00:00+08:00,94.48,94.48,94.48,94.48
2019-12-23T08:00:00+08:00,98.18,98.18,98.18,98.18
2019-12-24T08:00:00+08:00,95.98,95.98,95.98,95.98
2019-12-26T08:00:00+08:00,94.89,94.89,94.89,94.89
2019-12-27T08:00:00+08:00,94.59,94.59,94.59,94.59
2019-12-30T08:00:00+08:00,97.69,97.69,97.69,97.69
2019-12-31T08:00:00+08:00,96.05,96.05,96.05,96.05
2020-01-02T08:00:00+08:00,94.9,94.9,94.9,94.9
2020-01-03T08:00:00+08:00,92.07,92.07,92.07,92.07
2020-01-06T08:00:00+08:00,97.85,97.85,97.85,97.85
2020-01-07T08:00:00+08:00,103.07,103.07,103.07,103.07
2020-01-08T08:00:00+08:00,106.52,106.52,106.52,106.52
2020-01-10T08:00:00+08:00,103.07,103.07,103.07,103.07
2020-01-13T08:00:00+08:00,108.2,108.2,108.2,108.2
2020-01-14T08:00:00+08:00,107.49,107.49,107.49,107.49
2020-01-15T08:00:00+08:00,120.34,120.34,120.34,120.34
2020-01-16T08:00:00+08:00,119.69,119.69,119.69,119.69
2020-01-17T08:00:00+08:00,118.52,118.52,118.52,118.52
2020-01-20T08:00:00+08:00,118.18,118.18,118.18,118.18
2020-01-21T08:00:00+08:00,118.11,118.11,118.11,118.11
2020-01-22T08:00:00+08:00,119.57,119.57,119.57,119.57
2020-01-23T08:00:00+08:00,118.85,118.85,118.85,118.85
2020-01-24T08:00:00+08:00,114.4,114.4,114.4,114.4
2020-01-27T08:00:00+08:00,117.33,117.33,117.33,117.33
2020-01-28T08:00:00+08:00,121.4,121.4,121.4,121.4
2020-01-29T08:00:00+08:00,126.73,126.73,126.73,126.73
2020-01-30T08:00:00+08:00,126.27,126.27,126.27,126.27
2020-01-31T08:00:00+08:00,129.8,129.8,129.8,129.8
2020-02-03T08:00:00+08:00,128.53,128.53,128.53,128.53
2020-02-04T08:00:00+08:00,128.43,128.43,128.43,128.43
2020-02-05T08:00:00+08:00,127.57,127.57,127.57,127.57
2020-02-06T08:00:00+08:00,134.46,134.46,134.46,134.46
2020-02-07T08:00:00+08:00,136.52,136.52,136.52,136.52
2020-02-10T08:00:00+08:00,143.15,143.15,143.15,143.15
2020-02-11T08:00:00+08:00,140.27,140.27,140.27,140.27
